,Date,Low,High,Close,Open
2680,2015-08-12,735.6531,746.8252,744.4987,736.5884
2679,2015-08-11,741.7068,754.2702,742.6374,752.409
2678,2015-08-10,743.1027,757.9927,751.4783,752.8743
2677,2015-08-07,747.6023,761.2499,748.2212,757.5274
2676,2015-08-06,750.8595,768.2389,760.7846,764.9724
2675,2015-08-05,746.667,775.6745,760.7846,772.8827
2674,2015-08-04,760.3193,783.5848,766.8336,779.397
2673,2015-08-03,739.8455,790.0992,782.6542,743.568
2672,2015-07-31,694.7103,744.4987,738.9149,697.0369
2671,2015-07-30,682.1469,704.4819,697.5022,693.3144
2670,2015-07-29,679.8203,695.1756,679.8203,688.6613
2669,2015-07-28,668.9507,684.9388,684.0081,670.9794
2668,2015-07-27,667.7222,687.2653,668.1875,681.2163
2667,2015-07-24,684.9388,707.5669,684.9388,699.3634
2666,2015-07-23,700.1219,711.4615,701.2247,711.4615
2665,2015-07-22,699.8287,713.3228,707.739,711.9268
2664,2015-07-21,710.0656,731.5863,712.3922,730.5393
2663,2015-07-20,725.8862,733.2288,728.6781,729.6087
2662,2015-07-17,724.4903,732.2473,725.8862,727.2821
2661,2015-07-16,717.9759,732.4006,727.7474,724.9556
2660,2015-07-15,721.6984,731.1442,727.2821,725.8862
2659,2015-07-14,719.3718,725.8862,724.0249,723.5596
2658,2015-07-13,711.9268,727.2821,724.0249,721.2331
2657,2015-07-10,702.6206,716.58,715.6493,709.135
2656,2015-07-09,696.1062,708.6697,704.4819,708.2044
2655,2015-07-08,701.8761,717.0453,705.8778,710.5309
2654,2015-07-07,696.5716,741.7999,706.8084,740.7762
2653,2015-07-06,718.3481,750.5477,746.8252,720.3025
2652,2015-07-03,796.1483,813.416,797.0789,812.8995
2651,2015-07-02,812.8995,831.0466,815.6913,828.2548
2650,2015-07-01,811.8479,831.9773,828.2548,814.7607
2649,2015-06-30,809.6423,828.7201,809.6423,825.9282
2648,2015-06-29,817.0873,835.6997,830.116,817.0873
2647,2015-06-26,827.3241,840.3529,835.6997,838.9569
2646,2015-06-25,839.4222,850.4967,840.8182,843.1447
2645,2015-06-24,845.006,855.2428,845.006,846.8672
